"CAMIS","Total","Critical","Not Critical","Not Applicable"
"40392724","26","13","13","0"
"40392766","23","11","12","0"
"40392834","26","16","10","0"
"40392872","9","6","3","0"
"40392939","13","5","8","0"
"40393044","9","5","4","0"
"40393051","4","1","3","0"
"40393093","22","10","12","0"
"40393118","27","17","9","1"
"40393154","3","1","2","0"
"40393243","27","12","15","0"
"40393378","16","8","8","0"
"40393395","12","8","4","0"
"40393413","20","11","9","0"
"40393427","3","2","1","0"
"40393519","7","4","3","0"
"40393558","12","7","4","1"
"40393561","9","5","4","0"
"40393563","12","6","6","0"
"40393570","14","10","4","0"
"40393591","9","6","3","0"
"40393688","25","9","16","0"
"40393712","15","7","8","0"
"40393725","12","6","6","0"
"40393753","4","2","2","0"
"40393761","10","4","6","0"
"40393772","6","2","4","0"
"40393787","15","8","6","1"
"40393832","6","3","3","0"
"40393905","7","4","3","0"
"40393977","34","21","13","0"
"40393985","14","6","8","0"
"40394007","6","1","5","0"
"40394028","9","4","5","0"
"40394030","11","6","5","0"
"40394037","5","1","4","0"
"40394068","7","4","3","0"
"40394110","10","5","5","0"
"40394176","30","15","15","0"
"40394207","12","4","8","0"
"40394258","18","8","10","0"
"40394392","23","14","9","0"
"40394401","15","12","3","0"
"40394518","19","13","6","0"
"40394555","9","5","4","0"
"40394560","24","9","15","0"
"40394600","7","5","2","0"
"40394701","25","12","13","0"
"40394761","4","3","1","0"
"40394762","3","1","2","0"
"40394770","13","8","5","0"
"40394838","6","4","2","0"
"40394916","19","10","9","0"
"40394962","3","1","2","0"
"40395055","12","6","6","0"
"40395079","10","5","5","0"
"40395087","46","25","20","1"
"40395110","24","12","12","0"
"40395122","17","7","10","0"
"40395211","5","3","2","0"
"40395218","13","5","8","0"
"40395239","9","5","4","0"
"40395298","16","10","6","0"
"40395310","21","10","11","0"
"40395343","26","17","9","0"
"40395366","6","2","4","0"
"40395375","5","4","1","0"
"40395480","9","3","6","0"
"40395511","8","2","6","0"
"40395516","21","9","12","0"
"40395525","13","4","9","0"
"40395554","15","7","8","0"
"40395568","14","8","6","0"
"40395597","9","5","4","0"
"40395653","10","5","5","0"
"40395723","12","6","6","0"
"40395774","6","4","2","0"
"40395826","6","2","4","0"
"40395858","16","7","9","0"
"40395865","10","4","6","0"
"40395872","15","7","8","0"
"40395882","3","2","1","0"
"40395892","6","4","2","0"
"40395906","24","13","11","0"
"40395910","9","5","4","0"
"40395921","15","10","5","0"
"40395992","6","2","4","0"
"40396020","19","12","6","1"
"40396037","32","21","11","0"
"40396159","8","2","6","0"
"40396183","6","4","2","0"
"40396231","35","15","20","0"
"40396264","13","10","3","0"
"40396381","16","11","5","0"
"40396399","4","2","2","0"
"40396421","4","1","3","0"
"40396433","6","4","2","0"
"40396445","9","5","4","0"
"40396464","11","4","7","0"
"40396488","14","10","4","0"
"40396492","8","3","5","0"
"40396496","3","2","1","0"
"40396521","6","2","4","0"
"40396532","25","10","15","0"
"40396548","11","4","6","1"
"40396574","4","3","1","0"
"40396622","22","13","9","0"
"40396769","7","2","5","0"
"40396892","21","12","9","0"
"40396906","15","7","8","0"
"40396927","4","2","2","0"
"40397116","10","4","6","0"
"40397189","7","3","4","0"
"40397219","14","5","9","0"
"40397305","24","8","16","0"
"40397335","6","4","2","0"
"40397359","9","5","4","0"
"40397439","10","5","5","0"
"40397458","7","4","3","0"
"40397486","2","1","1","0"
"40397492","9","6","3","0"
"40397574","42","21","21","0"
"40397625","13","5","8","0"
"40397626","9","3","6","0"
"40397642","10","6","4","0"
"40397676","6","2","4","0"
"40397700","2","0","2","0"
"40397723","5","2","3","0"
"40397725","3","1","2","0"
"40397763","12","7","5","0"
"40397780","5","2","3","0"
"40397791","15","8","7","0"
"40397797","7","3","4","0"
"40397810","6","3","2","1"
"40397886","12","5","7","0"
"40398045","28","13","15","0"
"40398125","6","2","4","0"
"40398138","6","4","2","0"
"40398306","3","0","3","0"
"40398367","3","2","1","0"
"40398434","21","8","13","0"
"40398440","5","2","3","0"
"40398532","35","17","17","1"
"40398549","19","7","12","0"
"40398561","14","7","7","0"
"40398586","20","9","11","0"
"40398688","70","36","34","0"
"40398689","12","2","10","0"
"40398690","4","2","2","0"
"40398700","9","2","7","0"
"40398795","11","9","2","0"
"40398811","7","6","1","0"
"40398899","33","19","14","0"
"40398910","5","3","2","0"
"40398989","12","3","9","0"
"40399099","7","3","4","0"
"40399174","8","5","3","0"
"40399279","5","4","1","0"
"40399329","3","1","2","0"
"40399340","15","6","9","0"
"40399356","10","5","5","0"
"40399372","3","1","2","0"
"40399373","26","11","15","0"
"40399422","6","2","4","0"
"40399472","17","13","4","0"
"40399560","6","3","3","0"
"40399569","17","9","8","0"
"40399581","15","9","6","0"
"40399611","27","11","16","0"
"40399620","4","3","1","0"
"40399729","14","10","4","0"
"40399739","4","1","3","0"
"40399751","10","6","4","0"
"40399770","14","5","9","0"
"40399778","7","3","4","0"
"40399787","4","0","4","0"
"40399817","9","4","5","0"
"40399834","26","15","9","2"
"40399852","15","6","9","0"
"40399867","7","1","6","0"
"40399886","5","3","2","0"
"40399911","8","5","3","0"
"40399922","10","5","5","0"
"40399955","10","3","7","0"
"40399986","8","3","5","0"
"40400021","6","3","3","0"
"40400039","36","12","24","0"
"40400149","24","10","14","0"
"40400155","3","1","2","0"
"40400198","9","5","4","0"
"40400204","5","1","4","0"
"40400209","8","5","3","0"
"40400429","6","2","4","0"
"40400453","13","7","6","0"
"40400473","5","1","4","0"
"40400483","7","2","5","0"
"40400492","11","5","6","0"
"40400539","19","9","9","1"
"40400544","49","26","22","1"
"40400561","19","8","11","0"
"40400610","25","13","11","1"
"40400686","24","15","9","0"
"40400702","11","7","4","0"
"40400710","7","4","3","0"
"40400739","8","2","6","0"
"40400754","7","1","6","0"
"40400799","16","7","9","0"
"40400810","3","2","1","0"
"40400898","6","2","4","0"
"40400962","9","4","5","0"
"40400976","8","2","6","0"
"40401000","31","13","18","0"
"40401025","15","7","8","0"
"40401060","5","5","0","0"
"40401066","3","1","2","0"
"40401084","5","3","2","0"
"40401093","8","4","4","0"
"40401104","3","1","2","0"
"40401160","2","0","2","0"
"40401173","2","1","1","0"
"40401224","17","13","4","0"
"40401247","5","3","2","0"
"40401422","3","1","2","0"
"40401445","20","7","13","0"
"40401453","8","6","2","0"
"40401506","6","2","4","0"
"40401742","8","2","6","0"
"40401821","9","4","5","0"
"40401834","39","22","17","0"
"40401841","12","7","5","0"
"40401887","20","11","9","0"
"40401895","3","2","1","0"
"40401912","3","2","1","0"
"40401934","4","2","2","0"
"40401971","15","9","6","0"
"40402007","28","13","15","0"
"40402023","9","5","4","0"
"40402026","7","3","4","0"
"40402089","6","3","3","0"
"40402102","5","3","2","0"
"40402172","12","7","5","0"
"40402222","5","3","2","0"
"40402231","20","9","11","0"
"40402238","14","8","5","1"
"40402266","21","13","8","0"
"40402333","3","0","3","0"
"40402337","16","9","7","0"
"40402362","10","5","5","0"
"40402365","6","1","5","0"
"40402368","4","2","2","0"
"40402369","15","9","6","0"
"40402375","6","2","4","0"
"40402376","5","2","3","0"
"40402377","5","2","3","0"
"40402393","3","2","1","0"
"40402397","11","4","7","0"
"40402398","11","8","3","0"
"40402407","5","3","2","0"
"40402418","8","4","4","0"
"40402423","14","8","6","0"
"40402424","7","1","6","0"
"40402428","31","10","21","0"
"40402465","8","5","3","0"
"40402466","5","3","2","0"
"40402527","4","2","2","0"
"40402610","8","2","6","0"
"40402699","1","1","0","0"
"40402717","9","5","4","0"
"40402742","15","8","7","0"
"40402755","13","3","10","0"
"40402756","6","1","5","0"
"40402785","2","2","0","0"
"40402788","4","1","3","0"
"40402893","15","10","5","0"
"40402899","5","4","1","0"
"40403419","5","1","4","0"
"40403579","8","4","4","0"
"40403586","16","8","8","0"
"40403721","4","3","1","0"
"40403768","5","2","3","0"
"40403822","5","2","3","0"
"40403830","2","1","1","0"
"40403857","4","2","2","0"
"40403988","5","1","4","0"
"40404017","4","1","3","0"
"40404024","12","8","4","0"
"40404080","8","3","5","0"
"40423364","3","1","2","0"
"40423403","9","4","5","0"
"40423440","22","11","11","0"
"40423481","3","2","1","0"
"40423510","12","5","7","0"
"40423563","3","1","2","0"
"40423571","11","6","4","1"
"40423654","13","6","7","0"
"40423705","10","8","2","0"
"40423819","20","8","12","0"
"40423830","23","12","11","0"
"40423976","14","6","8","0"
"40424247","8","5","3","0"
"40424337","12","7","5","0"
"40424410","15","6","9","0"
"40424437","10","7","3","0"
"40424488","12","5","7","0"
"40424515","12","6","6","0"
"40424633","5","4","1","0"
"40424709","4","2","2","0"
"40424723","4","3","1","0"
"40424765","15","10","5","0"
"40424780","11","4","7","0"
"40424894","6","2","4","0"
"40424906","26","17","9","0"
"40424933","2","0","2","0"
"40425000","14","8","6","0"
"40425021","16","9","7","0"
"40425023","6","2","4","0"
"40425029","2","1","1","0"
"40425060","9","6","3","0"
"40425131","14","7","7","0"
"40425143","5","3","2","0"
"40482586","4","1","2","1"
"40482591","13","7","6","0"
"40482592","2","0","2","0"
"40482593","5","4","1","0"
"40482596","14","8","6","0"
"40482597","6","2","4","0"
"40482598","3","2","1","0"
"40482599","5","1","4","0"
"40482600","18","6","11","1"
"40483195","9","3","6","0"
"40483540","6","1","5","0"
"40483596","10","5","5","0"
"40483597","11","4","7","0"
"40483602","11","4","7","0"
"40483694","10","4","6","0"
"40483695","6","4","2","0"
"40483696","6","3","3","0"
"40483697","7","4","3","0"
"40483729","7","3","4","0"
"40510286","9","6","3","0"
"40510293","3","2","1","0"
"40510301","26","17","9","0"
"40510335","6","2","4","0"
"40510341","9","5","4","0"
"40510389","16","12","4","0"
"40510439","8","5","3","0"
"40510605","12","8","4","0"
"40510647","7","1","6","0"
"40510804","9","5","4","0"
"40510827","4","2","2","0"
"40511696","10","4","6","0"
"40511771","20","13","7","0"
"40511904","4","3","1","0"
"40512002","3","2","1","0"
"40512074","6","3","3","0"
"40512087","4","2","2","0"
"40512172","10","6","4","0"
"40512204","9","1","8","0"
"40512258","11","6","5","0"
"40512297","9","3","6","0"
"40512425","6","2","4","0"
"40512445","6","3","3","0"
"40512520","6","2","4","0"
"40512610","6","1","5","0"
"40512617","8","5","3","0"
"40512788","4","2","2","0"
"40512852","7","3","4","0"
"40512865","8","4","4","0"
"40513021","16","9","7","0"
"40513031","12","7","4","1"
"40513133","13","6","7","0"
"40513164","11","6","5","0"
"40513184","12","5","7","0"
"40513217","19","8","9","2"
"40513414","10","5","5","0"
"40513416","6","2","4","0"
"40513609","6","2","4","0"
"40513633","5","3","2","0"
"40513662","19","11","8","0"
"40513798","10","5","5","0"
"40514147","11","7","4","0"
"40515124","19","12","6","1"
"40515448","14","10","4","0"
"40515597","19","12","7","0"
